track_id,frame_idx,timestamp,collision_risk,near_miss_risk,abrupt_brake_risk,mean_composite_risk,smoothed_risk,num_samples
2,3,0.0,0.0,0.9014965291844519,0.0,0.2704489587553355,0.2613310373304041,5
2,5,0.0,0.0,0.9923902104577331,0.0,0.29771706313731994,0.2722468450724788,5
2,6,0.0,0.07298116822600113,0.0,0.0,0.03649058411300057,0.20151996678463535,5
2,14,0.0,0.0,0.9846795825977438,0.0,0.2954038747793232,0.22968513918304168,5
2,16,0.0,0.0,0.0,0.0,0.0,0.16077959742812917,5
3,0,0.0,0.3733057717360636,0.0,0.0,0.1866528858680318,0.1866528858680318,5
3,1,0.0,0.06698870118555071,0.0,0.0,0.033494350592775356,0.14070532528545487,5
3,2,0.0,0.0,0.8906714738786118,0.0,0.2672014421635835,0.17865416034889345,5
3,3,0.0,0.0,0.6429463277056934,0.0,0.19288389831170805,0.18292308173773783,5
3,21,0.0,0.0,0.735694435952449,0.0,0.2207083307857347,0.19425865645213686,5
3,25,0.0,0.0,0.0,0.0,0.0,0.13598105951649578,5
3,119,0.0,0.0,0.09579236161814461,0.0,0.02873770848544338,0.10380805420718006,5
3,120,0.0,0.0,0.06419212601728189,0.0,0.019257637805184562,0.0784429292865814,5
3,121,0.0,0.0,0.046403627318312914,0.0,0.013921088195493874,0.059086376959255144,5
3,122,0.0,0.0,0.0,0.0,0.0,0.0413604638714786,5
3,123,0.0,0.0,0.0,0.0,0.0,0.028952324710035015,5
3,124,0.0,0.0,0.0,0.0,0.0,0.020266627297024508,5
3,152,0.0,0.0,0.44540202412475416,0.0,0.13362060723742625,0.054272821279145025,5
3,153,0.0,0.0,0.0,0.0,0.0,0.037990974895401514,5
3,155,0.0,0.0,0.5251354266497463,0.0,0.15754062799492385,0.07385587082525821,5
3,156,0.0,0.0,0.522110783334983,0.0,0.15663323500049492,0.09868908007782923,5
3,157,0.0,0.0,0.5172190368392557,0.0,0.1551657110517767,0.11563206937001347,5
3,158,0.0,0.0,0.5219962606870039,0.0,0.15659887820610113,0.12792211202083975,5
4,0,0.0,0.0,0.7602771556796835,0.0,0.228083146703905,0.228083146703905,5
4,1,0.0,0.0,0.7613558221107267,0.0,0.22840674663321794,0.22818022668269886,5
4,2,0.0,0.0,0.7521935497573351,0.0,0.22565806492720047,0.22742357815604936,5
4,3,0.0,0.0,0.7578784602250968,0.0,0.22736353806752901,0.22740556612949325,5
4,7,0.0,0.0,0.7678902348452207,0.0,0.23036707045356622,0.22829401742671512,5
4,8,0.0,0.0,0.765264367473381,0.0,0.22957931024201428,0.22867960527130488,5
4,9,0.0,0.0,0.7592853186988686,0.0,0.2277855956096606,0.2284114023728116,5
4,10,0.0,0.0,0.7610025976673976,0.0,0.22830077930021933,0.2283782154510339,5
4,11,0.0,0.0,0.7602718006968565,0.0,0.22808154020905694,0.22828921287844078,5
4,12,0.0,0.0,0.7641599797311596,0.0,0.22924799391934786,0.2285768471907129,5
4,13,0.0,0.0,0.8469779258931294,0.0,0.25409337776793883,0.23623180636388066,5
4,18,0.0,0.22215834152160988,0.0,0.0,0.11107917076080494,0.19868601568295796,5
4,20,0.0,0.0,0.7574002755477129,0.0,0.22722008266431387,0.20724623577736473,5
4,26,0.0,0.0,0.0,0.0,0.0,0.1450723650441553,5
4,28,0.0,0.0,0.0,0.0,0.0,0.10155065553090871,5
4,29,0.0,0.0,0.0,0.0,0.0,0.07108545887163609,5
4,30,0.0,0.0,0.0,0.0,0.0,0.04975982121014526,5
4,31,0.0,0.0,0.0,0.0,0.0,0.03483187484710168,5
4,32,0.0,0.0,0.0,0.0,0.0,0.024382312392971173,5
4,33,0.0,0.0,0.0,0.0,0.0,0.017067618675079818,5
4,34,0.0,0.0,0.0,0.0,0.0,0.011947333072555872,5
4,35,0.0,0.0,0.0,0.0,0.0,0.00836313315078911,5
4,36,0.0,0.0,0.0,0.0,0.0,0.005854193205552377,5
